id,description,code
742,Stress Test,PR0742
1398,Liver Function Test,PR1398
1369,Abdominal Ultrasound,PR1369
291,Thyroid Function Test,PR0291
1251,Complete Blood Count (CBC),PR1251
964,Kidney Function Test,PR0964
102,Chest X-Ray,PR0102
1176,Chest X-Ray,PR1176
1830,Lipid Panel,PR1830
1668,Electrocardiogram (ECG),PR1668
1000,Thyroid Function Test,PR1000
294,Kidney Function Test,PR0294
1267,Complete Blood Count (CBC),PR1267
193,Chest X-Ray,PR0193
600,Abdominal Ultrasound,PR0600
1534,Stress Test,PR1534
61,MRI of the Brain,PR0061
1367,MRI of the Brain,PR1367
456,Kidney Function Test,PR0456
28,CT Scan of the Abdomen,PR0028
520,Abdominal Ultrasound,PR0520
1761,Chest X-Ray,PR1761
362,Abdominal Ultrasound,PR0362
238,Thyroid Function Test,PR0238
138,CT Scan of the Abdomen,PR0138
1464,MRI of the Brain,PR1464
662,Lipid Panel,PR0662
643,Complete Blood Count (CBC),PR0643
797,Lipid Panel,PR0797
573,Basic Metabolic Panel,PR0573
1336,Electrocardiogram (ECG),PR1336
1110,Liver Function Test,PR1110
329,Chest X-Ray,PR0329
1260,Thyroid Function Test,PR1260
206,Kidney Function Test,PR0206
496,MRI of the Brain,PR0496
961,Kidney Function Test,PR0961
1028,Abdominal Ultrasound,PR1028
1009,Complete Blood Count (CBC),PR1009
1808,Stress Test,PR1808
1333,MRI of the Brain,PR1333
509,Electrocardiogram (ECG),PR0509
1068,Thyroid Function Test,PR1068
587,Abdominal Ultrasound,PR0587
840,Kidney Function Test,PR0840
925,Electrocardiogram (ECG),PR0925
954,Complete Blood Count (CBC),PR0954
787,Complete Blood Count (CBC),PR0787
64,Abdominal Ultrasound,PR0064
1127,Liver Function Test,PR1127
166,Basic Metabolic Panel,PR0166
661,Thyroid Function Test,PR0661
317,CT Scan of the Abdomen,PR0317
55,Basic Metabolic Panel,PR0055
532,Electrocardiogram (ECG),PR0532
723,Stress Test,PR0723
1078,Abdominal Ultrasound,PR1078
563,Complete Blood Count (CBC),PR0563
1966,Lipid Panel,PR1966
547,Basic Metabolic Panel,PR0547
1243,Thyroid Function Test,PR1243
1786,CT Scan of the Abdomen,PR1786
98,Chest X-Ray,PR0098
670,Stress Test,PR0670
1442,Basic Metabolic Panel,PR1442
938,Stress Test,PR0938
909,Liver Function Test,PR0909
1767,Electrocardiogram (ECG),PR1767
192,Stress Test,PR0192
1689,Lipid Panel,PR1689
1417,Basic Metabolic Panel,PR1417
429,Liver Function Test,PR0429
306,Basic Metabolic Panel,PR0306
1825,Lipid Panel,PR1825
1954,Kidney Function Test,PR1954
702,Lipid Panel,PR0702
1043,Stress Test,PR1043
984,Kidney Function Test,PR0984
848,Thyroid Function Test,PR0848
768,Complete Blood Count (CBC),PR0768
1141,Thyroid Function Test,PR1141
183,CT Scan of the Abdomen,PR0183
1053,Basic Metabolic Panel,PR1053
683,Stress Test,PR0683
1278,Kidney Function Test,PR1278
59,Abdominal Ultrasound,PR0059
1157,Chest X-Ray,PR1157
646,Abdominal Ultrasound,PR0646
1197,Abdominal Ultrasound,PR1197
584,MRI of the Brain,PR0584
1314,Abdominal Ultrasound,PR1314
1247,Lipid Panel,PR1247
977,Thyroid Function Test,PR0977
1974,Stress Test,PR1974
1487,Kidney Function Test,PR1487
1528,Lipid Panel,PR1528
9,Chest X-Ray,PR0009
1208,Abdominal Ultrasound,PR1208
700,Liver Function Test,PR0700
1106,Lipid Panel,PR1106
246,Complete Blood Count (CBC),PR0246
274,CT Scan of the Abdomen,PR0274
1721,Basic Metabolic Panel,PR1721
877,Chest X-Ray,PR0877
1887,Stress Test,PR1887
234,Lipid Panel,PR0234
752,Kidney Function Test,PR0752
1190,MRI of the Brain,PR1190
613,Thyroid Function Test,PR0613
1281,Complete Blood Count (CBC),PR1281
734,Thyroid Function Test,PR0734
1408,Basic Metabolic Panel,PR1408
1249,Liver Function Test,PR1249
1167,Complete Blood Count (CBC),PR1167
65,Thyroid Function Test,PR0065
1239,Basic Metabolic Panel,PR1239
1616,Liver Function Test,PR1616
709,MRI of the Brain,PR0709
1622,MRI of the Brain,PR1622
1229,Stress Test,PR1229
1811,Electrocardiogram (ECG),PR1811
565,Liver Function Test,PR0565
287,Complete Blood Count (CBC),PR0287
658,Complete Blood Count (CBC),PR0658
70,Liver Function Test,PR0070
1754,Kidney Function Test,PR1754
784,Chest X-Ray,PR0784
17,CT Scan of the Abdomen,PR0017
1287,Electrocardiogram (ECG),PR1287
564,MRI of the Brain,PR0564
1128,Lipid Panel,PR1128
1978,MRI of the Brain,PR1978
1467,Complete Blood Count (CBC),PR1467
1044,Abdominal Ultrasound,PR1044
1787,Thyroid Function Test,PR1787
1838,MRI of the Brain,PR1838
1607,CT Scan of the Abdomen,PR1607
1733,Thyroid Function Test,PR1733
1218,Thyroid Function Test,PR1218
400,Electrocardiogram (ECG),PR0400
754,Complete Blood Count (CBC),PR0754
1861,CT Scan of the Abdomen,PR1861
134,Thyroid Function Test,PR0134
568,MRI of the Brain,PR0568
982,Lipid Panel,PR0982
510,Electrocardiogram (ECG),PR0510
763,Kidney Function Test,PR0763
1935,MRI of the Brain,PR1935
885,Chest X-Ray,PR0885
574,MRI of the Brain,PR0574
1778,MRI of the Brain,PR1778
1220,Abdominal Ultrasound,PR1220
1700,Thyroid Function Test,PR1700
323,Thyroid Function Test,PR0323
1343,Abdominal Ultrasound,PR1343
101,Chest X-Ray,PR0101
861,Lipid Panel,PR0861
226,Thyroid Function Test,PR0226
1981,Thyroid Function Test,PR1981
1293,Kidney Function Test,PR1293
528,Abdominal Ultrasound,PR0528
1185,Basic Metabolic Panel,PR1185
492,CT Scan of the Abdomen,PR0492
1596,Thyroid Function Test,PR1596
1685,Thyroid Function Test,PR1685
390,MRI of the Brain,PR0390
1201,CT Scan of the Abdomen,PR1201
1509,Lipid Panel,PR1509
543,Basic Metabolic Panel,PR0543
419,Electrocardiogram (ECG),PR0419
1300,Stress Test,PR1300
221,Stress Test,PR0221
790,Electrocardiogram (ECG),PR0790
713,Thyroid Function Test,PR0713
1928,Thyroid Function Test,PR1928
477,Thyroid Function Test,PR0477
4,Complete Blood Count (CBC),PR0004
489,Thyroid Function Test,PR0489
1489,MRI of the Brain,PR1489
896,Abdominal Ultrasound,PR0896
958,Electrocardiogram (ECG),PR0958
1937,Kidney Function Test,PR1937
1443,Chest X-Ray,PR1443
108,Abdominal Ultrasound,PR0108
1121,Basic Metabolic Panel,PR1121
576,Kidney Function Test,PR0576
23,Lipid Panel,PR0023
814,Basic Metabolic Panel,PR0814
1874,Liver Function Test,PR1874
1359,Kidney Function Test,PR1359
1469,Complete Blood Count (CBC),PR1469
1143,Basic Metabolic Panel,PR1143
1182,Basic Metabolic Panel,PR1182
249,Complete Blood Count (CBC),PR0249
665,Electrocardiogram (ECG),PR0665
1022,Lipid Panel,PR1022
128,CT Scan of the Abdomen,PR0128
176,CT Scan of the Abdomen,PR0176
1510,Lipid Panel,PR1510
1409,Thyroid Function Test,PR1409
1241,Kidney Function Test,PR1241
1967,Complete Blood Count (CBC),PR1967
107,Thyroid Function Test,PR0107
91,Liver Function Test,PR0091
559,Kidney Function Test,PR0559
1890,CT Scan of the Abdomen,PR1890
1325,Basic Metabolic Panel,PR1325
194,Basic Metabolic Panel,PR0194
860,Abdominal Ultrasound,PR0860
1015,Abdominal Ultrasound,PR1015
1774,Basic Metabolic Panel,PR1774
1104,Chest X-Ray,PR1104
807,Electrocardiogram (ECG),PR0807
1762,Abdominal Ultrasound,PR1762
380,Lipid Panel,PR0380
1589,Kidney Function Test,PR1589
63,CT Scan of the Abdomen,PR0063
491,Electrocardiogram (ECG),PR0491
1766,Stress Test,PR1766
773,MRI of the Brain,PR0773
105,MRI of the Brain,PR0105
502,Complete Blood Count (CBC),PR0502
191,Complete Blood Count (CBC),PR0191
235,Abdominal Ultrasound,PR0235
738,Electrocardiogram (ECG),PR0738
1828,CT Scan of the Abdomen,PR1828
1219,Abdominal Ultrasound,PR1219
1546,Chest X-Ray,PR1546
1252,Stress Test,PR1252
1420,Stress Test,PR1420
383,Electrocardiogram (ECG),PR0383
132,Basic Metabolic Panel,PR0132
1097,Stress Test,PR1097
1194,Complete Blood Count (CBC),PR1194
337,Complete Blood Count (CBC),PR0337
1973,Stress Test,PR1973
541,MRI of the Brain,PR0541
825,Complete Blood Count (CBC),PR0825
1587,MRI of the Brain,PR1587
746,Thyroid Function Test,PR0746
735,Kidney Function Test,PR0735
859,Chest X-Ray,PR0859
837,Chest X-Ray,PR0837
1166,Chest X-Ray,PR1166
1949,CT Scan of the Abdomen,PR1949
145,Abdominal Ultrasound,PR0145
1698,Complete Blood Count (CBC),PR1698
898,Electrocardiogram (ECG),PR0898
619,Complete Blood Count (CBC),PR0619
1172,Thyroid Function Test,PR1172
40,MRI of the Brain,PR0040
595,Chest X-Ray,PR0595
1968,Electrocardiogram (ECG),PR1968
136,Liver Function Test,PR0136
1542,Complete Blood Count (CBC),PR1542
1400,Basic Metabolic Panel,PR1400
1344,Chest X-Ray,PR1344
823,Stress Test,PR0823
676,Abdominal Ultrasound,PR0676
89,Chest X-Ray,PR0089
1146,Kidney Function Test,PR1146
829,Basic Metabolic Panel,PR0829
522,Complete Blood Count (CBC),PR0522
1234,Electrocardiogram (ECG),PR1234
208,MRI of the Brain,PR0208
1678,Stress Test,PR1678
926,Basic Metabolic Panel,PR0926
1064,Lipid Panel,PR1064
350,Abdominal Ultrasound,PR0350
845,Lipid Panel,PR0845
1492,Chest X-Ray,PR1492
1051,Stress Test,PR1051
374,Thyroid Function Test,PR0374
240,Kidney Function Test,PR0240
358,Chest X-Ray,PR0358
1773,MRI of the Brain,PR1773
163,Chest X-Ray,PR0163
842,MRI of the Brain,PR0842
74,Electrocardiogram (ECG),PR0074
478,Abdominal Ultrasound,PR0478
1226,Basic Metabolic Panel,PR1226
1276,Electrocardiogram (ECG),PR1276
1995,Electrocardiogram (ECG),PR1995
686,CT Scan of the Abdomen,PR0686
177,Electrocardiogram (ECG),PR0177
832,Thyroid Function Test,PR0832
1798,CT Scan of the Abdomen,PR1798
266,Thyroid Function Test,PR0266
259,MRI of the Brain,PR0259
894,CT Scan of the Abdomen,PR0894
736,Abdominal Ultrasound,PR0736
1693,MRI of the Brain,PR1693
381,Basic Metabolic Panel,PR0381
1511,Basic Metabolic Panel,PR1511
1643,MRI of the Brain,PR1643
1742,Complete Blood Count (CBC),PR1742
1561,Thyroid Function Test,PR1561
1222,Liver Function Test,PR1222
1161,Complete Blood Count (CBC),PR1161
1632,Chest X-Ray,PR1632
1162,Electrocardiogram (ECG),PR1162
1652,Chest X-Ray,PR1652
994,Electrocardiogram (ECG),PR0994
552,Abdominal Ultrasound,PR0552
1001,Liver Function Test,PR1001
230,Chest X-Ray,PR0230
120,Kidney Function Test,PR0120
1291,CT Scan of the Abdomen,PR1291
870,Kidney Function Test,PR0870
1135,Abdominal Ultrasound,PR1135
1372,Chest X-Ray,PR1372
263,Abdominal Ultrasound,PR0263
980,Chest X-Ray,PR0980
865,MRI of the Brain,PR0865
836,Stress Test,PR0836
353,CT Scan of the Abdomen,PR0353
716,Liver Function Test,PR0716
759,Abdominal Ultrasound,PR0759
684,Abdominal Ultrasound,PR0684
117,Liver Function Test,PR0117
1853,Basic Metabolic Panel,PR1853
1725,Chest X-Ray,PR1725
200,Chest X-Ray,PR0200
222,Abdominal Ultrasound,PR0222
1037,Lipid Panel,PR1037
1815,Thyroid Function Test,PR1815
435,Abdominal Ultrasound,PR0435
929,Stress Test,PR0929
1086,Basic Metabolic Panel,PR1086
1729,Chest X-Ray,PR1729
1054,Electrocardiogram (ECG),PR1054
1388,Kidney Function Test,PR1388
346,Chest X-Ray,PR0346
1844,Thyroid Function Test,PR1844
156,Abdominal Ultrasound,PR0156
1092,Kidney Function Test,PR1092
247,CT Scan of the Abdomen,PR0247
523,Liver Function Test,PR0523
1591,Electrocardiogram (ECG),PR1591
967,Kidney Function Test,PR0967
971,MRI of the Brain,PR0971
1669,Lipid Panel,PR1669
1916,Chest X-Ray,PR1916
1410,CT Scan of the Abdomen,PR1410
1111,Complete Blood Count (CBC),PR1111
1997,Kidney Function Test,PR1997
210,Complete Blood Count (CBC),PR0210
1156,Thyroid Function Test,PR1156
1687,CT Scan of the Abdomen,PR1687
1899,Complete Blood Count (CBC),PR1899
1057,Basic Metabolic Panel,PR1057
1724,CT Scan of the Abdomen,PR1724
217,Electrocardiogram (ECG),PR0217
86,Chest X-Ray,PR0086
11,CT Scan of the Abdomen,PR0011
809,Thyroid Function Test,PR0809
1618,Basic Metabolic Panel,PR1618
1731,CT Scan of the Abdomen,PR1731
1795,Liver Function Test,PR1795
1352,Electrocardiogram (ECG),PR1352
1783,Thyroid Function Test,PR1783
466,Basic Metabolic Panel,PR0466
637,Complete Blood Count (CBC),PR0637
869,Lipid Panel,PR0869
1210,Chest X-Ray,PR1210
352,Stress Test,PR0352
1803,CT Scan of the Abdomen,PR1803
1396,Thyroid Function Test,PR1396
1586,CT Scan of the Abdomen,PR1586
1345,CT Scan of the Abdomen,PR1345
1905,Electrocardiogram (ECG),PR1905
1946,Stress Test,PR1946
1316,CT Scan of the Abdomen,PR1316
152,CT Scan of the Abdomen,PR0152
1461,CT Scan of the Abdomen,PR1461
1559,MRI of the Brain,PR1559
1549,MRI of the Brain,PR1549
115,MRI of the Brain,PR0115
1168,Thyroid Function Test,PR1168
1625,Thyroid Function Test,PR1625
617,MRI of the Brain,PR0617
549,Basic Metabolic Panel,PR0549
1826,Liver Function Test,PR1826
1414,Kidney Function Test,PR1414
1521,Lipid Panel,PR1521
1008,Liver Function Test,PR1008
940,Lipid Panel,PR0940
1301,Kidney Function Test,PR1301
41,Complete Blood Count (CBC),PR0041
606,Stress Test,PR0606
1964,Liver Function Test,PR1964
1424,Thyroid Function Test,PR1424
332,Stress Test,PR0332
